medal_id;medal_type;medal_code;medal_date;name;gender;discipline;event;event_type;url_event;code;country_code;country;country_long
302;Silver Medal;2.0;2024-08-02;United States;O;Equestrian;Jumping Team;TEAM;/en/paris-2024/results/equestrian/jumping-team/fnl-000100--;EQUOJUMPTEAMUSA01;USA;United States;United States of America
303;Bronze Medal;3.0;2024-08-02;France;O;Equestrian;Jumping Team;TEAM;/en/paris-2024/results/equestrian/jumping-team/fnl-000100--;EQUOJUMPTEAMFRA01;FRA;France;France
304;Gold Medal;1.0;2024-08-02;Hungary;M;Fencing;Men's ?p?e Team;HTEAM;/en/paris-2024/results/fencing/men-s-epee-team/fnl-000100--;FENMTEAMEPEEHUN01;HUN;Hungary;Hungary
305;Silver Medal;2.0;2024-08-02;Japan;M;Fencing;Men's ?p?e Team;HTEAM;/en/paris-2024/results/fencing/men-s-epee-team/fnl-000100--;FENMTEAMEPEEJPN01;JPN;Japan;Japan
306;Bronze Medal;3.0;2024-08-02;Czechia;M;Fencing;Men's ?p?e Team;HTEAM;/en/paris-2024/results/fencing/men-s-epee-team/fnl-000200--;FENMTEAMEPEECZE01;CZE;Czechia;Czechia
307;Gold Medal;1.0;2024-08-02;Teddy RINER;M;Judo;Men +100 kg;HATH;/en/paris-2024/results/judo/men--plus-100-kg/fnl-000100--;1891323;FRA;France;France
308;Silver Medal;2.0;2024-08-02;KIM Minjong;M;Judo;Men +100 kg;HATH;/en/paris-2024/results/judo/men--plus-100-kg/fnl-000100--;1928072;KOR;Korea;Republic of Korea
309;Bronze Medal;3.0;2024-08-02;Temur RAKHIMOV;M;Judo;Men +100 kg;HATH;/en/paris-2024/results/judo/men--plus-100-kg/repf000100--;1567512;TJK;Tajikistan;Tajikistan
310;Bronze Medal;3.0;2024-08-02;Alisher YUSUPOV;M;Judo;Men +100 kg;HATH;/en/paris-2024/results/judo/men--plus-100-kg/repf000200--;1566931;UZB;Uzbekistan;Uzbekistan
311;Gold Medal;1.0;2024-08-02;Beatriz SOUZA;W;Judo;Women +78 kg;HATH;/en/paris-2024/results/judo/women--plus-78-kg/fnl-000100--;1953777;BRA;Brazil;Brazil
312;Silver Medal;2.0;2024-08-02;Raz HERSHKO;W;Judo;Women +78 kg;HATH;/en/paris-2024/results/judo/women--plus-78-kg/fnl-000100--;1892796;ISR;Israel;Israel
