"code";"current";"team";"team_gender";"country_code";"country";"country_long";"discipline";"disciplines_code";"events";"athletes";"coaches";"athletes_codes";"num_athletes";"coaches_codes";"num_coaches"
"ARCWTEAM3---FRA01";"True";"France";"W";"FRA";"France";"France";"Archery";"ARC";"Women's Team";"\"['BARBELIN Lisa'";" 'CORDEAU Amelie'";" 'LOPEZ Caroline']\"";"";"\"['1541265'";" '1541266'"
"ARCWTEAM3---GBR01";"True";"Great Britain";"W";"GBR";"Great Britain";"Great Britain";"Archery";"ARC";"Women's Team";"\"['HEALEY Penny'";" 'HAVERS Megan'";" 'PITMAN Bryony']\"";"";"\"['1560991'";" '1560990'"
"ARCWTEAM3---GER01";"True";"Germany";"W";"GER";"Germany";"Germany";"Archery";"ARC";"Women's Team";"\"['BAUER Katharina'";" 'KROPPEN Michelle'";" 'SCHWARZ Charline']\"";"";"\"['1553257'";" '1553258'"
"ARCWTEAM3---INA01";"True";"Indonesia";"W";"INA";"Indonesia";"Indonesia";"Archery";"ARC";"Women's Team";"\"['CHOIRUNISA Diananda'";" 'KAMAL Syifa Nurafifah'";" 'OCTAVIA Rezza']\"";"";"\"['1913983'";" '1913884'"
"ARCWTEAM3---IND01";"True";"India";"W";"IND";"India";"India";"Archery";"ARC";"Women's Team";"\"['BHAKAT Ankita'";" 'KAUR Bhajan'";" 'KUMARI Deepika']\"";"";"\"['1546200'";" '1546133'"
"ARCWTEAM3---KOR01";"True";"Republic of Korea";"W";"KOR";"Korea";"Republic of Korea";"Archery";"ARC";"Women's Team";"\"['JEON Hunyoung'";" 'LIM Sihyeon'";" 'NAM Suhyeon']\"";"";"\"['1902121'";" '1902147'"
"ARCWTEAM3---MAS01";"True";"Malaysia";"W";"MAS";"Malaysia";"Malaysia";"Archery";"ARC";"Women's Team";"\"['MASHAYIKH Syaqiera'";" 'MOHAMAD FAZIL Nurul Azreena'";" 'MOHAMAD ZAIRI Ariana Nur Dania']\"";"";"\"['1893596'";" '1893598'"
"ARCWTEAM3---MEX01";"True";"Mexico";"W";"MEX";"Mexico";"Mexico";"Archery";"ARC";"Women's Team";"\"['RUIZ Angela'";" 'VALENCIA Alejandra'";" 'VAZQUEZ Ana']\"";"";"\"['1535429'";" '1535420'"
"ARCWTEAM3---NED01";"True";"Netherlands";"W";"NED";"Netherlands";"Netherlands";"Archery";"ARC";"Women's Team";"\"['ROEFFEN Quinty'";" 'SCHLOESSER Gaby'";" 'van der WINKEL Laura']\"";"";"\"['1973408'";" '1973411'"
"ARCWTEAM3---TPE01";"True";"Chinese Taipei";"W";"TPE";"Chinese Taipei";"Chinese Taipei";"Archery";"ARC";"Women's Team";"\"['CHIU Yi-Ching'";" 'LEI Chien-Ying'";" 'LI Tsai-Chi']\"";"";"\"['1564635'";" '1564634'"
"ARCWTEAM3---USA01";"True";"United States of America";"W";"USA";"United States";"United States of America";"Archery";"ARC";"Women's Team";"\"['GNORIEGA Catalina'";" 'KAUFHOLD Casey'";" 'MUCINO Jennifer']\"";"";"\"['1955599'";" '1955601'"
"ARCXTEAM2---AUS01";"True";"Australia";"X";"AUS";"Australia";"Australia";"Archery";"ARC";"Mixed Team";"\"['PAEGLIS Laura'";" 'BOUKOUVALAS Peter']\"";"";"\"['1931124'";" '1931126']\"";"2.0"
"ARCXTEAM2---BRA01";"True";"Brazil";"X";"BRA";"Brazil";"Brazil";"Archery";"ARC";"Mixed Team";"\"['SLIACHTICAS CAETANO Ana Luiza'";" \"\"D'ALMEIDA Marcus\"\"]\"";"";"\"['1958706'";" '1958717']\"";"2.0"
"ARCXTEAM2---CAN01";"True";"Canada";"X";"CAN";"Canada";"Canada";"Archery";"ARC";"Mixed Team";"\"['CHENIER Virginie'";" 'PETERS Eric']\"";"";"\"['1971736'";" '1971737']\"";"2.0"
"ARCXTEAM2---CHN01";"True";"People's Republic of China";"X";"CHN";"China";"People's Republic of China";"Archery";"ARC";"Mixed Team";"\"['YANG Xiaolei'";" 'WANG Yan']\"";"";"\"['1913380'";" '1913369']\"";"2.0"
"ARCXTEAM2---COL01";"True";"Colombia";"X";"COL";"Colombia";"Colombia";"Archery";"ARC";"Mixed Team";"\"['RENDON MARTINEZ Ana'";" 'ARCILA Santiago']\"";"";"\"['1935464'";" '1935642']\"";"2.0"
"ARCXTEAM2---CZE01";"True";"Czechia";"X";"CZE";"Czechia";"Czechia";"Archery";"ARC";"Mixed Team";"\"['HORACKOVA Marie'";" 'LI Adam']\"";"";"\"['1894503'";" '1894507']\"";"2.0"
"ARCXTEAM2---EGY01";"True";"Egypt";"X";"EGY";"Egypt";"Egypt";"Archery";"ARC";"Mixed Team";"\"['ALI Jana'";" 'TOLBA Youssof']\"";"";"\"['1889144'";" '1888973']\"";"2.0"
"ARCXTEAM2---ESP01";"True";"Spain";"X";"ESP";"Spain";"Spain";"Archery";"ARC";"Mixed Team";"\"['CANALES Elia'";" 'ACHA GONZALEZ Pablo']\"";"";"\"['1563638'";" '1563633']\"";"2.0"
