title;city;date_start;date_end;tag;url;stage_number
"Paris, Day 2";"Place de la République";"2024-07-15T00:01:00+02:00";"2024-07-15T23:59:00+02:00";"paris-paris-2";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/paris-paris-2";"58.0"
"Aisne";"Saint-Quentin";"2024-07-17T00:01:00+02:00";"2024-07-17T23:59:00+02:00";"aisne-saint-quentin";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/aisne-saint-quentin";"59.0"
"Oise";"Beauvais";"2024-07-18T00:01:00+02:00";"2024-07-18T23:59:00+02:00";"oise-beauvais";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/oise-beauvais";"60.0"
"Val-d'Oise";"Soisy-sous-Montmorency";"2024-07-19T00:01:00+02:00";"2024-07-19T23:59:00+02:00";"val-d-oise-soisy-sous-montmorency";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/val-d-oise-soisy-sous-montmorency";"61.0"
"Seine-et-Marne";"Meaux";"2024-07-20T00:01:00+02:00";"2024-07-20T23:59:00+02:00";"seine-et-marne-meaux";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/seine-et-marne-meaux";"62.0"
"Val-de-Marne";"Créteil";"2024-07-21T00:01:00+02:00";"2024-07-21T23:59:00+02:00";"val-de-marne-creteil";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/val-de-marne-creteil";"63.0"
"Essonne";"Evry-Courcouronnes";"2024-07-22T00:01:00+02:00";"2024-07-22T23:59:00+02:00";"essonne-evry-courcouronnes";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/essonne-evry-courcouronnes";"64.0"
"Yvelines";"Versailles";"2024-07-23T00:01:00+02:00";"2024-07-23T23:59:00+02:00";"yvelines-versailles";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/yvelines-versailles";"65.0"
"Hauts-de-Seine";"Nanterre > L?Arche de la Défense";"2024-07-24T00:01:00+02:00";"2024-07-24T23:59:00+02:00";"hauts-de-seine-nanterre";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/hauts-de-seine-nanterre";"66.0"
"Seine-Saint-Denis";"Parc Georges-Valbon";"2024-07-25T00:01:00+02:00";"2024-07-25T23:59:00+02:00";"seine-saint-denis-la-courneuve";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/seine-saint-denis-la-courneuve";"67.0"
"Epilogue";"Paris";"2024-07-26T00:01:00+02:00";"2024-07-26T23:59:00+02:00";"epilogue";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/epilogue";"68.0"
"Lighting Ceremony";"Olympia";"2024-04-16T00:01:00+02:00";"2024-04-16T12:01:00+02:00";"lighting-ceremony";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/lighting-ceremony";"0.0"
"Relay in Greece";"UNKNOWN";"2024-04-16T12:02:00+02:00";"2024-04-26T19:06:00+02:00";"relay-in-greece";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/relay-in-greece";"0.1"
"Handover Ceremony";"Athens";"2024-04-26T00:01:00+02:00";"2024-04-26T19:07:00+02:00";"handover-ceremony";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/handover-ceremony";"0.2"
"Crossing the Mediterranean";"Marseille";"2024-04-26T19:08:00+02:00";"2024-05-08T00:01:00+02:00";"mediterranean-crossing";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/mediterranean-crossing";"0.3"
"Prologue";"Marseille";"2024-05-08T00:02:00+02:00";"2024-05-08T22:02:00+02:00";"prologue-marseille";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/prologue-marseille";"0.4"
