start_date;end_date;day;status;discipline;discipline_code;event;event_medal;phase;gender;event_type;venue;venue_code;location_description;location_code;url
2024-08-07T16:00:00+02:00;2024-08-07T16:17:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Opening Series;M;ATH;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
2024-08-07T16:00:00+02:00;2024-08-07T16:17:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Opening Series;M;ATH;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
2024-08-07T16:00:00+02:00;2024-08-07T16:17:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Opening Series;M;ATH;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
2024-08-07T16:00:00+02:00;2024-08-07T16:17:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Opening Series;W;TEAM;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
2024-08-07T16:00:00+02:00;2024-08-07T16:17:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Opening Series;M;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-07T16:00:00+02:00;2024-08-07T16:17:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Opening Series;W;TEAM;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
2024-08-07T16:00:00+02:00;2024-08-07T16:17:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Opening Series;W;TEAM;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
2024-08-07T16:00:00+02:00;2024-08-07T16:17:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Opening Series;W;TEAM;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
2024-08-07T16:00:00+02:00;2024-08-07T16:17:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Opening Series;W;TEAM;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T14:06:00+02:00;2024-08-08T14:12:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Semifinals;M;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T14:09:00+02:00;2024-08-08T14:15:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Semifinals;W;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T14:18:00+02:00;2024-08-08T14:24:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Semifinals;W;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T14:33:00+02:00;2024-08-08T14:39:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Semifinals;M;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T14:42:00+02:00;2024-08-08T14:48:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Semifinals;M;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T14:45:00+02:00;2024-08-08T14:51:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Semifinals;W;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T14:54:00+02:00;2024-08-08T15:00:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Semifinals;W;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T14:56:00+02:00;2024-08-08T15:02:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Semifinals;M;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T15:00:00+02:00;2024-08-08T15:06:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Semifinals;M;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T15:03:00+02:00;2024-08-08T15:09:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Semifinals;W;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T15:12:00+02:00;2024-08-08T15:18:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Semifinals;W;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T15:15:00+02:00;2024-08-08T15:21:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Semifinals;M;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T15:18:00+02:00;2024-08-08T15:24:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Semifinals;M;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T15:21:00+02:00;2024-08-08T15:27:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Semifinals;W;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T15:26:00+02:00;2024-08-08T15:32:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Semifinals;W;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T15:27:00+02:00;2024-08-08T15:33:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Semifinals;M;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T15:28:00+02:00;2024-08-08T15:34:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Semifinals;M;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T15:39:00+02:00;2024-08-08T15:45:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Semifinals;W;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T15:39:00+02:00;2024-08-08T15:45:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Semifinals;W;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T16:55:00+02:00;2024-08-08T17:01:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Final;W;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T17:04:00+02:00;2024-08-08T17:10:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Final;W;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
